time;NSC_res;NSC_G;NSC_PC;Liver_res;Liver_G;Liver_PC;Liver_res2;Pancreas_res;Pancreas_G;Pancreas_PC;Beta_res;Beta_res2;Beta_G;Beta_PC;Alpha_res;Alpha_G;Alpha_PC;Surrenal_res;Surrenal_G;Surrenal_PC;Glucose;Glycogene;AcidesGras;AcidesAmines;AcetylCoA;Pyruvate;ATP;AMPK;Cortisol;Insulin;Glucagon
26.0;0.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;51.0;5.400000000000002;0.8999999999999995;100.0;4.400000000000006;1.0;941.1999999999998;0;0.0;1.6379203639094182;17.580013120248218
27.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;46.0;5.400000000000002;0.8999999999999995;100.0;14.400000000000006;1.0;881.1999999999998;0;0.0;1.213401249609727;18.02359403930354
28.0;0.0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;41.0;5.400000000000002;0.8999999999999995;100.0;4.000000000000007;1.0;1025.1999999999998;0;0.0;0.898909754708851;18.352206866486462
29.0;0.0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;36.0;5.400000000000002;0.8999999999999995;100.0;14.000000000000007;1.0;965.1999999999998;0;5.0;0.6659287250368505;13.595649236413307
30.0;0.0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;0;41.0;5.400000000000002;0.8999999999999995;95.0;14.000000000000007;1.0;885.1999999999998;0;3.7040911034085893;0.49333213318264457;15.071904676332462
31.0;1.0;1;0;1;1;0;1;0;0;0;0;0;1;0;1;1;0;1;1;0;46.0;5.400000000000002;0.8999999999999995;90.0;14.000000000000007;1.0;805.1999999999998;1;2.744058180470132;0.36546943310948304;16.165541604605078
32.0;1.0;1;0;1;1;0;1;0;1;0;0;0;1;0;0;1;0;1;1;1;51.0;5.400000000000002;0.8999999999999995;85.0;14.000000000000007;1.0;725.1999999999998;1;2.0328482987029957;0.27074641514972336;16.975727767879818
33.0;1.0;1;0;0;1;0;1;1;1;0;1;0;1;0;0;1;0;0;1;1;77.0;3.200000000000003;1.1999999999999995;95.0;3.6000000000000085;1.0;869.1999999999998;1;1.1156508007421493;3.111861665791784;9.316476930176918
34.0;1.0;1;0;0;1;0;1;1;1;0;1;0;1;0;0;1;0;0;1;1;72.0;3.200000000000003;1.1999999999999995;95.0;13.600000000000009;1.0;809.1999999999998;1;0.8264944411079328;5.268596704986387;6.901815862435938
35.0;1.0;1;1;0;1;0;1;1;1;0;1;1;1;0;0;1;1;0;1;1;66.0;4.200000000000003;1.9999999999999996;95.0;14.100000000000007;1.0;773.5999999999998;1;0.6122821412649097;6.866345319204448;5.112990946682648
36.0;1.0;1;1;0;1;0;1;1;1;0;1;1;1;0;0;1;1;0;1;1;84.0;10.000000000000004;3.0999999999999996;105.0;14.600000000000007;1.0;737.9999999999998;1;0.4535897664470626;5.086713721959281;3.787796855483171
37.0;1.0;1;1;0;1;1;1;1;1;0;1;1;1;0;0;1;1;0;1;1;78.0;11.000000000000004;3.8999999999999995;105.0;15.100000000000007;1.0;702.3999999999997;1;0.3360275636987489;6.731603091346025;2.806068926782849
38.0;1.0;1;1;0;1;1;1;1;1;0;1;1;1;1;0;1;1;0;1;1;72.0;12.000000000000004;4.699999999999999;105.0;12.700000000000008;1.0;695.7999999999997;1;0.24893534183931978;8.320576217534244;2.0787869894495277
39.0;1.0;1;1;0;1;1;1;1;1;0;1;1;1;1;0;1;1;0;0;1;66.0;13.000000000000004;5.499999999999999;105.0;10.30000000000001;1.0;689.1999999999997;1;0.1844158370062001;9.497716461588068;1.5400032787003042
